timestamp,meas_type,site_id,crack_id,observer_name,meas,weather,reliability
1/9/2014 14:00, ,Kib,A, ,138.5, , 
1/9/2014 14:00, ,Kib,B, ,74.2, , 
1/9/2014 14:00, ,Kib,C, ,78.6, , 
4/8/2014 7:00, ,Tue,Clinic Crack, ,21, , 
4/8/2014 7:00, ,Tue,Felix Aliban's yard, ,20, , 
4/8/2014 7:00, ,Tue,Pathway between Marisa and Angelo, ,21.9, , 
4/8/2014 7:00, ,Tue,Modseng House Banyo Crack, ,6.8, , 
4/8/2014 7:00, ,Tue,Brgy. Hall, ,19.3, , 
4/8/2014 7:00, ,Tue,Gunan House Crack, ,38.4, , 
5/26/2014 6:19, ,Bol,Crack 1, ,24, , 
5/26/2014 6:19, ,Bol,Crack 4, ,19, , 
5/26/2014 6:19, ,Bol,Crack 5, ,31, , 
6/1/2014 8:00, ,Pla,Crack 1, ,20.32, , 
6/1/2014 8:00, ,Pla,Crack 2, ,30.48, , 
6/2/2014 6:30, ,Bol,Crack 1, ,24, , 
6/2/2014 6:30, ,Bol,Crack 4, ,19, , 
6/2/2014 6:30, ,Bol,Crack 5, ,31, , 
6/9/2014 6:50, ,Bol,Crack 1, ,24, , 
6/9/2014 6:50, ,Bol,Crack 4, ,19, , 
6/9/2014 6:50, ,Bol,Crack 5, ,31, , 
6/9/2014 9:00, ,Lip,Bitak 1, ,87, , 
6/16/2014 15:00, ,Bol,Crack 1, ,24, , 
6/16/2014 15:00, ,Bol,Crack 4, ,19, , 
6/16/2014 15:00, ,Bol,Crack 5, ,31, , 
6/23/2014 9:30, ,Lip,Bitak 1, ,87, , 
6/24/2014 7:38, ,Bol,Crack 1, ,24, , 
6/24/2014 7:38, ,Bol,Crack 4, ,19, , 
6/24/2014 7:38, ,Bol,Crack 5, ,31, , 
7/2/2014 8:00, ,Bol,Crack 1, ,24, , 
7/2/2014 8:00, ,Bol,Crack 4, ,19, , 
7/2/2014 8:00, ,Bol,Crack 5, ,31, , 
7/2/2014 10:00, ,Lip,Bitak 1, ,87, , 
7/7/2014 7:30, ,Bol,Crack 1, ,24, , 
7/7/2014 7:30, ,Bol,Crack 2, ,31, , 
7/7/2014 7:30, ,Bol,Crack 5, ,31, , 
7/7/2014 10:30, ,Lip,Bitak 1, ,87, , 
7/14/2014 15:30, ,Bol,Crack 1, ,24, , 
7/14/2014 15:30, ,Bol,Crack 2, ,31, , 
7/14/2014 15:30, ,Bol,Crack 3, ,16, , 
7/14/2014 15:30, ,Bol,Crack 5, ,31, , 
7/15/2014 16:00, ,Blc,A, ,15, , 
7/21/2014 6:30, ,Bol,Crack 1, ,24, , 
7/21/2014 6:30, ,Bol,Crack 2, ,31, , 
7/21/2014 6:30, ,Bol,Crack 3, ,16, , 
7/21/2014 6:30, ,Bol,Crack 5, ,31, , 
7/21/2014 11:00, ,Lip,Bitak 1, ,87, , 
7/24/2014 11:05, ,Nag,Crack 1, ,24.2, , 
7/24/2014 11:17, ,Nag,Crack 2, ,18.2, , 
7/25/2014 13:50, ,Bol,Crack 1, ,24, , 
7/25/2014 13:50, ,Bol,Crack 2, ,31, , 
7/25/2014 13:50, ,Bol,Crack 3, ,16, , 
7/25/2014 13:50, ,Bol,Crack 5, ,31, , 
7/25/2014 9:30, ,Lip,Bitak 1, ,87, , 
7/31/2014 11:04, ,Nag,Crack 1, ,24.2, , 
7/31/2014 13:45, ,Nag,Crack 5, ,584, , 
8/1/2014 10:00, ,Blc,A, ,16, , 
8/1/2014 10:00, ,Blc,C, ,1, , 
8/4/2014 8:00, ,Bol,Crack 1, ,24, , 
8/4/2014 8:00, ,Bol,Crack 2, ,32.2, , 
8/4/2014 8:00, ,Bol,Crack 3, ,16.5, , 
8/4/2014 8:00, ,Bol,Crack 5, ,31, , 
8/4/2014 8:30, ,Lip,Bitak 1, ,87, , 
8/8/2014 16:00, ,Blc,A, ,16, , 
8/8/2014 16:00, ,Blc,B, ,12, , 
8/9/2014 14:05, ,Nag,Crack 5, ,584, , 
8/9/2014 14:10, ,Nag,Crack 6, ,524, , 
8/9/2014 14:00, ,Nag,Crack 7, ,1070, , 
8/11/2014 8:00, ,Bol,Crack 1, ,24, , 
8/11/2014 8:00, ,Bol,Crack 2, ,32.3, , 
8/11/2014 8:00, ,Bol,Crack 5, ,31, , 
8/11/2014 8:00, ,Bol,Crack 6, ,20, , 
8/11/2014 8:00, ,Bol,Crack 7, ,16.5, , 
8/13/2014 8:00, ,Pla,Crack 3, ,70, , 
8/14/2014 11:00, ,Blc,A, ,19, , 
8/14/2014 11:00, ,Blc,B, ,12, , 
8/16/2014 13:00, ,Nag,Crack 1, ,24.8, , 
8/16/2014 13:05, ,Nag,Crack 2, ,18.7, , 
8/16/2014 14:08, ,Nag,Crack 5, ,584, , 
8/16/2014 14:08, ,Nag,Crack 6, ,524, , 
8/16/2014 14:00, ,Nag,Crack 7, ,1070, , 
8/16/2014 15:09, ,Nag,Crack 8, ,86, , 
8/18/2014 6:45, ,Bol,Crack 1, ,24, , 
8/18/2014 6:45, ,Bol,Crack 2, ,32.3, , 
8/18/2014 6:45, ,Bol,Crack 5, ,31, , 
8/18/2014 6:45, ,Bol,Crack 6, ,20, , 
8/18/2014 6:45, ,Bol,Crack 7, ,16.5, , 
8/18/2014 10:30, ,Lip,Bitak 1, ,87, , 
8/23/2014 13:00, ,Nag,Crack 1, ,24.8, , 
8/23/2014 13:00, ,Nag,Crack 2, ,18.7, , 
8/23/2014 14:00, ,Nag,Crack 5, ,584, , 
8/23/2014 14:10, ,Nag,Crack 6, ,524, , 
8/23/2014 14:30, ,Nag,Crack 7, ,1070, , 
8/23/2014 15:00, ,Nag,Crack 8, ,86, , 
8/25/2014 7:00, ,Bol,Crack 1, ,24, , 
8/25/2014 7:00, ,Bol,Crack 2, ,32.3, , 
8/25/2014 7:00, ,Bol,Crack 5, ,31, , 
8/25/2014 7:00, ,Bol,Crack 6, ,20, , 
8/25/2014 7:00, ,Bol,Crack 7, ,16.5, , 
8/25/2014 15:30, ,Lip,Bitak 1, ,87, , 
8/30/2014 13:05, ,Nag,Crack 1, ,24.8, , 
8/30/2014 13:05, ,Nag,Crack 2, ,18.7, , 
8/30/2014 14:00, ,Nag,Crack 5, ,584, , 
8/30/2014 14:30, ,Nag,Crack 6, ,524, , 
8/30/2014 14:30, ,Nag,Crack 7, ,1070, , 
9/1/2014 7:30, ,Bol,Crack 1, ,24, , 
